,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description,Unit,Course
103,2022,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.B.3,CR,OA,5.OA.B.3,Extend two different addition patterns and explain the relationship between corresponding terms in the patterns.,4,52,53,-1,Operations and Algebraic Thinking,Analyze patterns and relationships.,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
104,2022,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths.",1,40,48,-8,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
105,2022,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,CR,NF,5.NF.B.6,"Solve real-world problems by finding the products of a whole number and a fraction, two fractions, a mixed number and a fraction, and two mixed numbers.",4,35,38,-3,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
106,2022,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SR,MD,5.MD.B.2,Use information from a given line plot to solve problems that involve adding and dividing fractions.,1,35,31,4,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
107,2022,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,SA,NT,5.NBT.B.5,Determine the product of a two-digit whole number and a four-digit whole number.,1,44,46,-2,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
108,2022,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SR,NT,5.NBT.B.6,"Write a division equation with a 4-digit dividend, a 1-digit divisor, and a variable quotient and then use the equation to solve a word problem.",1,58,54,4,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
109,2022,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SR,NF,5.NF.B.3,Identify a fraction as division of the numerator by the denominator and solve a word problem with division of two whole numbers with a mixed number answer.,2,58,53,5,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
110,2022,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.3,SR,GE,5.G.B.3,"Given a set of two-dimensional figures, identify which  figures are rectangles.",1,49,61,-12,Geometry,Classify two-dimensional figures into categories based on their properties.,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
111,2022,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SR,NF,5.NF.B.7,Determine the word problem that can be solved by dividing a unit fraction by a whole number.,1,55,50,5,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
112,2022,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SR,MD,5.MD.C.4,Solve a word problem involving finding the volume of a right rectangular prism by counting unit cubes.,1,54,66,-12,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
113,2022,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.1,SA,GE,5.G.A.1,Write the ordered pair that describes the location of a point plotted on a coordinate plane.,1,58,75,-17,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the zero on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",Topic 14: Graph Points on the Coordinate Plane,STEM
114,2022,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SR,NT,5.NBT.A.4,Round a given decimal number in thousandths to the nearest tenth.,1,67,68,-1,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
115,2022,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.4,SR,GE,5.G.B.4,Determine if sets of quadrilaterals can also be classified as another quadrilateral.,1,25,34,-9,Geometry,Classify two-dimensional figures into categories based on their properties.,Classify two-dimensional figures in a hierarchy based on properties.,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
116,2022,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SR,MD,5.MD.C.4,"Determine the volume of a right rectangular prism, with dimensions in metric units, by counting the cubes that make up the prism.",1,45,58,-13,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
117,2022,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Compare values from a table that include mixed numbers and decimals.,1,37,37,0,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
118,2022,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SR,NF,5.NF.B.4,Identify a real-world problem that represents a given multiplication equation with a unit fraction and a whole number.,1,22,31,-9,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
119,2022,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,SA,NT,5.NBT.B.5,Multiply a three-digit whole number by a two-digit whole number.,1,40,44,-4,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
120,2023,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801646735&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.5,SR,NF,5.NF.B.5,"In a multiplication problem involving a whole number and a fraction, determine which numerators in one factor will make the product greater than the whole number.",1,70,70,0,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Interpret multiplication as scaling (resizing),Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
121,2023,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA000938134&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.2,SA,GE,5.G.A.2,Graph points on a coordinate plane given the coordinate pairs that represent the points.,1,84,66,18,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
122,2023,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA000957282&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SR,NT,5.NBT.A.4,Round a given decimal number in thousandths to the nearest hundredth.,1,59,61,-2,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
123,2023,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA800650803&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.1,SR,NT,5.NBT.A.1,Determine the relationship of the value of a digit in one number compared to the value of that digit in another number.,1,32,36,-4,Number and Operations in Base Ten,Understand the place value system.,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Topic 1: Understanding Place Value,Math
124,2023,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA002343629&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,CR,MD,5.MD.C.5,Determine the volumes of right rectangular prisms and find the possible dimensions of a prism with a given volume.,4,47,45,2,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
125,2023,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA001066377&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Compare decimals to thousandths that are given in standard form.,1,59,64,-5,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
126,2023,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA900982012&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SR,NF,5.NF.B.7,Determine the real-world problem that can be represented by a given expression with a whole number divided by a fraction.,1,63,59,4,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
127,2023,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA005852277&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.B.3,CR,OA,5.OA.B.3,Extend two given patterns in a real-world problem and use the relationship between the two patterns to help solve the real-world problem.,4,54,47,7,Operations and Algebraic Thinking,Analyze patterns and relationships.,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
128,2023,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801235389&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SR,NT,5.NBT.A.2,Match numbers written as powers of ten with their equivalent value written in number form.,1,66,62,4,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
129,2023,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA000953421&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Identify the equivalent word form of a number given in expanded form.,1,68,66,2,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
130,2023,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA908434516&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.4,SR,GE,5.G.B.4,Describe the hierarchy of a given two-dimensional figure and determine which mathematical names describe a shape with a given set of attributes.,2,47,45,2,Geometry,Classify two-dimensional figures into categories based on their properties.,Classify two-dimensional figures in a hierarchy based on properties.,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
131,2023,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA000937699&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Evaluate an expression with two sets of parentheses.,1,66,38,28,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
132,2023,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA001142456&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SA,NF,5.NF.B.3,Interpret a fraction as division of the numerator by the denominator.,1,56,57,-1,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
133,2023,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA301157&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,Divide a decimal to hundredths by a whole number.,1,65,65,0,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
134,2023,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA001042212&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SA,NF,5.NF.B.4,Use a given area model to determine the area of a rectangle with fractional side lengths.,1,40,48,-8,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
135,2023,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA298032&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SA,MD,5.MD.A.1,"Solve a multi-step, real-world word problem by converting ounces to pounds.",1,38,34,4,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
136,2023,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306408&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,SR,NF,5.NF.B.6,Multiply a fraction by a mixed number to solve a word problem.,1,50,36,14,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
137,2023,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA006336846&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SR,MD,5.MD.C.4,Determine  whether the volumes of figures are greater or less than a given volume by counting unit cubes.,1,47,61,-14,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
138,2023,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA800975677&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SA,NT,5.NBT.B.6,Determine the quotient of a four-digit dividend and a two-digit divisor.,1,55,52,3,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
139,2023,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA804073329&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.2,SA,NF,5.NF.A.2,Create a fraction model to show the solution to a word problem involving the sum of two fractions with different denominators.,1,42,40,2,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
140,2023,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SR,MD,5.MD.C.4,Determine the volume of a figure by counting cubes with dimensions in non-standard units.,1,57,70,-13,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
141,2023,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.3,SR,GE,5.G.B.3,Identify which of a set of given shapes are parallelograms.,1,74,60,14,Geometry,Classify two-dimensional figures into categories based on their properties.,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
142,2023,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,"Determine the product, sum, and difference of two decimals to hundredths.",1,65,66,-1,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
143,2023,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SA,NT,5.NBT.B.6,Determine the quotient of a three-digit dividend and a two-digit divisor.,1,61,51,10,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
144,2023,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.2,SR,OA,5.OA.A.2,"Select the numerical expression, with parentheses, that represents a given word expression.",1,41,33,8,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Topic 13: Write and Interpret Numerical Expressions,Math
145,2023,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SR,NF,5.NF.B.3,Solve a word problem involving division of two whole numbers leading to a mixed number answer.,1,47,41,6,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
146,2023,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.1,SA,NF,5.NF.A.1,Determine the sum of two fractions with unlike denominators.,1,41,42,-1,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
147,2023,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Determine which expression with parentheses has an equivalent value if the parentheses are removed.,1,72,59,13,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
148,2023,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SR,NF,5.NF.B.4,Determine the real-world problem that represents the product of a unit fraction and a whole number.,1,63,55,8,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
149,2023,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SR,MD,5.MD.C.4,Determine the volume of a right rectangular prism by counting unit cubes.,1,72,75,-3,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
150,2023,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.1,SR,GE,5.G.A.1,Describe the relationships between the coordinates of a given point graphed on a coordinate plane and the origin in terms of the x- and y-axes.,1,84,73,11,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the zero on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",Topic 14: Graph Points on the Coordinate Plane,STEM
151,2023,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Identify the decimal numbers that can be used to complete a comparison with a given decimal number to thousandths.,1,43,53,-10,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
152,2023,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,SR,NF,5.NF.B.6,Solve a real-world problem by multiplying a mixed number and a fraction.,1,67,38,29,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
153,2023,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.5,CR,NF,5.NF.B.5,"Identify a product greater than one factor based on the size of the other factor, determine factors that will give a product that is equal to the other factor, and reason about the size of products based on the size of the factors.",4,68,59,9,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Interpret multiplication as scaling (resizing),Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
